loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
31990640.0,2050.70068359375,5656.02685546875,18476832.0,1301.58642578125,4298.46875,0.0010000000474974513
31189586.0,1988.9764404296875,5584.763671875,17875380.0,1504.3636474609375,4227.9287109375,0.0010000000474974513
29603528.0,1900.12158203125,5440.91259765625,17047110.0,1700.9844970703125,4128.814453125,0.0010000000474974513
27560252.0,1788.69873046875,5249.7861328125,16172936.0,1850.7528076171875,4021.558837890625,0.0010000000474974513
25296264.0,1677.7987060546875,5029.5390625,14376183.0,1528.3157958984375,3791.59375,0.0010000000474974513
22906424.0,1559.07421875,4786.0654296875,13134311.0,1560.40478515625,3624.12890625,0.0010000000474974513
20544992.0,1441.1451416015625,4532.658203125,11843486.0,1495.00048828125,3441.4365234375,0.0010000000474974513
18391200.0,1337.673828125,4288.49609375,10521120.0,1278.3084716796875,3243.627685546875,0.0010000000474974513
16550926.0,1252.9437255859375,4068.282958984375,9872375.0,1360.4183349609375,3142.03369140625,0.0010000000474974513
15006765.0,1189.53759765625,3873.856689453125,9985895.0,1772.2310791015625,3160.046630859375,0.0010000000474974513
13648403.0,1137.628173828125,3694.37451171875,8395894.0,1050.5069580078125,2897.56689453125,0.0010000000474974513
12564460.0,1091.2491455078125,3544.63818359375,8313776.0,1427.3638916015625,2883.36181640625,0.0010000000474974513
11521625.0,1054.0782470703125,3394.351806640625,7803779.0,1354.3702392578125,2793.5244140625,0.0010000000474974513
10630404.0,1025.1533203125,3260.429931640625,7371943.5,1231.0423583984375,2715.13232421875,0.0010000000474974513
9902049.0,1000.7426147460938,3146.752197265625,7291304.5,1257.0509033203125,2700.241455078125,0.0010000000474974513
9322511.0,972.3629760742188,3053.27880859375,7182398.5,1362.1165771484375,2679.999755859375,0.0010000000474974513
8866111.0,964.150390625,2977.6015625,6902647.5,1244.439208984375,2627.2890625,0.0010000000474974513
8449666.0,945.4014892578125,2906.830810546875,6713530.0,1232.3157958984375,2591.048095703125,0.0010000000474974513
8253523.5,937.7835083007812,2872.89453125,6641603.5,1114.541748046875,2577.130859375,0.0010000000474974513
7931441.0,929.3757934570312,2816.281494140625,6737689.5,1199.126953125,2595.7060546875,0.0010000000474974513
7875027.5,924.6519775390625,2806.248046875,6890709.0,1344.4505615234375,2625.01611328125,0.0010000000474974513
7655579.5,920.5662231445312,2766.871826171875,6748056.5,1156.456787109375,2597.7021484375,0.0010000000474974513
7486155.5,906.2754516601562,2736.083984375,6820860.5,1224.91552734375,2611.677734375,0.0005000000237487257
7331279.0,894.9838256835938,2707.633544921875,6740630.5,1128.9141845703125,2596.2724609375,0.0005000000237487257
